Parent Type,Parent Name,Parent Version,Child Name,Qty in DMA,Qty in PLM,Diff
DITTO ASSY,AKD0002590086,--B,DTR0009907233,0,1,-1
DITTO,AKD0002600930,--A,DTR00252112MK,1,0,1
DITTO,AKD0002590086,--B,DTR0009909559,0,5,-5
DITTO ASSY,AKD0002590085,--C,DTR0009907735,1,0,1
ASSEMBLY,AK00002600895,--B,AKD0002601361,0,1,-1
DITTO,AKD0002600930,--A,DTR0025211204,3,0,3
ASSEMBLY,AK00002590093,--A,AKD0002590136,0,2,-2
ASSEMBLY,AK00002596414,--B,AKD0002596423,0,1,-1
DITTO ASSY,AKD0002590086,--B,DTR0009907056,0,1,-1
DITTO ASSY,AKD0002590085,--C,DTR0000521217,1,0,1
DITTO ASSY,AKD0002590086,--B,DTR0009907740,0,1,-1
BOUGHT,DTR0009908112,--A,DTR0009908112,0,7,-7
ASSEMBLY,AK00002600901,--C,AK00002616444,1,0,1
ASSEMBLY,AK00002600901,--C,AKD0002601367,1,0,1
DITTO,AKD0002590134,--A,DTR0000553047,1,0,1
DITTO ASSY,AKD0002590086,--C,DTR0009909393,1,0,1
ASSEMBLY,AK00002600895,--C,AK00002600901,1,0,1
DITTO ASSY,AKD0002590085,--B,DTR0009907276,0,1,-1
ASSEMBLY,AK00002590093,--A,AKD0002590133,0,2,-2
ASSEMBLY,AK00002596414,--C,AK00002600923,1,0,1
DITTO ASSY,AKD0002590086,--C,DTR0009907003,1,0,1
BOUGHT,DTR0009909393,--A,DTR0009909393,1,0,1
ASSEMBLY,AK00002600901,--C,AKD0002590086,2,0,2
DITTO ASSY,AKD0002590086,--C,DTR0000606830,1,0,1
ASSEMBLY,AK00002590093,--B,AKD0002590135,1,0,1
DITTO,AKD0002590136,--A,DTR0000521212,8,0,8
DITTO ASSY,AKD0002590086,--B,DTR0009907771,0,1,-1
ASSEMBLY,AK00002590093,--B,AK00002590103,1,0,1
DITTO,AKD0002596420,--B,AKD0002596421,1,0,1
DITTO,AKD0002590085,--B,DTR0000521206,0,13,-13
BOUGHT,DTR0009907709,--A,DTR0009907709,1,0,1
DITTO ASSY,AKD0002590086,--B,DTR0009907772,0,1,-1
DITTO,AKD0002600930,--A,DTR0025211205,3,0,3
DITTO ASSY,AKD0002590086,--B,DTR0009907741,0,1,-1
DITTO ASSY,AKD0002590085,--C,DTR0009907517,1,0,1
DITTO,AKD0002590085,--B,DTR0000521212,0,2,-2
DITTO,AKD0002590086,--B,DTR0009907724,0,1,-1
ASSEMBLY,AK00002590093,--B,AKD0002590136,2,0,2
ASSEMBLY,AK00002600901,--C,AK00002591816,1,0,1
DITTO,AKD0002590085,--B,DTR0000521214,0,1,-1
BOUGHT,DTR0009445001,--A,DTR0009445001,0,3,-3
DITTO ASSY,AKD0002590085,--B,DTR0009907295,0,1,-1
DITTO,AKD0002590086,--B,DTR0009907056,0,2,-2
DITTO,AKD0002613437,--A,DTR0009907295,3,0,3
DITTO,AKD0002600936,--B,DTR0000340190,16,0,16
BOUGHT,DTR0000395546,--A,DTR0000395546,3,2,1
DITTO,AKD0002590086,--B,DTR0009907740,0,1,-1
ASSEMBLY,AK00002596414,--C,AK00002596428,1,0,1
DITTO,AKD0002590085,--B,DTR0000521216,0,1,-1
ASSEMBLY,AK00002590093,--B,AKD0002590133,2,0,2
ASSEMBLY,AK00002596414,--C,AKD0002596424,1,0,1
DITTO ASSY,AKD0002590085,--B,DTR0000521206,0,1,-1
ASSEMBLY,AK00002596414,--B,AK00002596419,0,1,-1
DITTO,AKD0002572150,--A,DTR0000550274,2,0,2
BOUGHT,DTR0009907300,--A,DTR0009907300,0,4,-4
DITTO ASSY,AKD0002590085,--B,DTR0000521212,0,1,-1
ASSEMBLY,AK00002600923,--A,AKD0002600926,0,1,-1
DITTO,AKD0002613437,--A,DTR0009907709,1,0,1
DITTO,AKD0002591946,--A,DTR0000378261,5,0,5
DITTO,AKD0002600936,--B,HHD0000043300,2,0,2
DITTO ASSY,AKD0002590085,--B,DTR0000521214,0,1,-1
DITTO,AKD0002590086,--B,DTR0009907771,0,1,-1
DITTO,AKD0002590130,--A,DTR0000550274,2,0,2
SINGLE PART,AK00002584514,--A,AKD0002584516,0,1,-1
